Action,Input
New Tweet,⌘ + N
Retweet,R (+ Return to confirm)
Quote Retweet,Q
Toggle Favorite (Like),"(F, ⌘ + F) + (L, ⌘ + L)"
Reply,⌘ + R
Links,⌘ + Shift + L
View User,⌘ + Shift + U
Refresh,⌘ + Shift + R
Scroll to Top,⌘ + ⇧
Scroll to Bottom,⌘ + ⇩
Return,⌘ + ⇦
View Details,⌘ + ⇨
,
Cycle Through Views,⌘ + ][
Timeline View,⌘ + 1
Mentions View,⌘ + 2
Direct Messages View,⌘ + 3
Search View,⌘.+ 4
Likes View,⌘ + 5
Profile View,⌘ + 6
Lists View,⌘ + 7
Mute Filters,⌘ + 8
Exit/Close (Some) Menus,"ESC, ⌘ + ."
,
Cycle Through Accounts,⌘ + Shift + ][
